年份,岗位代码,地区,部门名称,职位,学历,专业,招考人数,报考人数,分数线,最高分,城市
2014,40156,宿州,泗县公安局,人民警察,专科,专科：刑事侦查专业、治安管理专业、交通管理专业、刑事科学技术专业、信息网络安全监察专业、警察指挥与战术专业本科：侦查学专业、治安学专业、交通管理工程专业、刑事科学技术专业、网络安全与执法专业、警务指挥与战术专业研究生：公安学（一级学科）、公安技术（一级学科）,1,20,74,66,上海市
2019,40157,宿州,泗县公安局,人民警察,本科,计算机类,3,1,62,74,海口市
2018,40158,宿州,泗县公安局,人民警察,本科,法学门类,6,9,50,68,上海市
2017,40159,宿州,泗县公安局,人民警察,本科,不限,3,154,56,74,石家庄县
2013,40160,宿州,泗县公安局,人民警察,本科,不限,1,92,49,68,上海市
2015,40161,宿州,泗县公安局,人民警察,本科,不限,1,94,79,75,南京市
2014,40162,宿州,中共泗县县委机构编制委员会办公室县事业单位登记管理服务中心,机关综合,本科,不限,1,73,60,75,上海市
2018,40163,宿州,泗县人力资源和社会保障局县社会保险事业管理服务中心,机关综合,本科,中国语言文学类、金融学类、公共管理类,1,53,65,73,平市
2021,40164,宿州,泗县残疾人联合会,文字综合,本科,不限,3,1,84,72,宁德县
2019,40165,宿州,泗县乡镇机关,村镇事务管理,本科,不限,1,91,82,79,哈尔滨县
2016,40166,宿州,泗县乡镇机关,村镇事务管理,专科,不限,1,158,62,69,西宁市
2015,40167,宿州,泗县乡镇机关,村镇事务管理,专科,不限,1,70,84,65,齐齐哈尔市
2018,40168,宿州,泗县乡镇机关,人武专干,专科,人民武装专业（退役军人报考可不限专业）,1,1,51,67,西宁县
2017,40169,宿州,宿州市中级人民法院,法官助理,本科,法学类,3,1,73,76,斌市
2014,40170,宿州,宿州市中级人民法院,司法行政人员,本科,法学类,1,1,85,71,杰市
2021,40171,宿州,宿州市中级人民法院,司法行政人员,本科,中国语言文学类、法学类,1,1,60,68,北镇市
2018,40172,宿州,宿州市中级人民法院,司法警察,本科,公安学类,1,1,72,67,荣县
2015,40173,宿州,埇桥区人民法院,法官助理,本科,法学类,3,83,53,75,玲市
2022,40174,宿州,埇桥区人民法院,法官助理,本科,法学类,10,1,61,77,燕县
2018,40175,宿州,埇桥区人民法院,司法行政人员,本科,法学类,4,1,73,75,哈尔滨市
2018,40176,宿州,埇桥区人民法院,司法行政人员,本科,法学类、新闻传播学类、马克思主义理论类、中国语言文学类,4,121,86,67,畅县
2018,40177,宿州,埇桥区人民法院,司法行政人员,本科,中国语言文学类、工商管理类,1,126,77,76,石家庄县
2017,40178,宿州,埇桥区人民法院,司法警察,专科,刑事执行专业、刑事侦查技术专业、行政执行专业、司法警务专业、公共安全管理专业、警察管理专业,3,12,52,73,燕县
2014,40179,宿州,埇桥区人民法院,司法行政人员,本科,不限,7,1,62,76,佛山县
2019,40180,宿州,砀山县人民法院,法官助理,本科,法学类,1,44,49,68,佛山县
2018,40181,宿州,砀山县人民法院,法官助理,本科,法学类,1,83,42,70,巢湖市
2015,40182,宿州,萧县人民法院,法官助理,本科,法学类,3,74,75,68,燕县
2016,40183,宿州,萧县人民法院,法官助理,本科,法学类,5,1,59,70,杰市
2020,40184,宿州,萧县人民法院,司法行政人员,本科,图书情报与档案管理类,1,17,54,68,北镇市
2016,40185,宿州,萧县人民法院,司法行政人员,本科,不限,1,1,62,73,宇县
2016,40186,宿州,灵璧县人民法院,法官助理,本科,法学类,2,17,43,75,辛集市
2015,40187,宿州,灵璧县人民法院,法官助理,本科,法学类,1,15,63,60,海燕市
2013,40188,宿州,灵璧县人民法院,司法行政人员,本科,中国语言文学类、政治学类、新闻传播学类,3,69,87,68,西宁市
2022,40189,宿州,灵璧县人民法院,司法行政人员,本科,不限,1,21,53,76,香港市
2021,40190,宿州,泗县人民法院,法官助理,本科,法学类,3,1,84,67,杰市
2015,40191,宿州,泗县人民法院,法官助理,本科,法学类,1,1,0,0,瑜市
2019,40192,宿州,泗县人民法院,司法行政人员,本科,金融学类、会计学专业、财务管理专业、审计学专业,3,23,70,63,宇县
2016,40193,宿州,宿州市人民检察院,检察官助理,本科,法学类（不含特设专业）,3,88,76,75,福州市
2013,40194,宿州,埇桥区人民检察院,检察官助理,本科,法学类（不含特设专业）,2,1,0,0,哈尔滨市
2021,40195,宿州,埇桥区人民检察院,检察官助理,本科,法学类（不含特设专业）,1,1,62,64,齐齐哈尔县
2020,40196,宿州,埇桥区人民检察院,司法行政人员,本科,不限,1,96,58,72,西宁县
2018,40197,宿州,埇桥区人民检察院,司法行政人员,本科,新闻学专业、传播学专业、广播电视学专业、编辑出版学专业、数字出版专业,3,1,88,79,杰市
2020,40198,宿州,埇桥区人民检察院,司法行政人员,本科,法学类,3,34,47,73,武汉县
2020,40199,宿州,砀山县人民检察院,检察官助理,本科,法学类（不含特设专业）,1,1,40,71,斌市
2014,40200,宿州,砀山县人民检察院,检察官助理,本科,法学类（不含特设专业）,1,1,67,62,哈尔滨市
2016,40201,宿州,砀山县人民检察院,司法行政人员,本科,新闻学专业、网络与新媒体专业、汉语言文学专业、秘书学专业,2,87,69,72,志强县
2014,40202,宿州,萧县人民检察院,检察官助理,本科,法学类（不含特设专业）,3,1,73,70,武汉市
2016,40203,宿州,萧县人民检察院,检察官助理,本科,不限,1,1,83,76,玲市
2013,40204,宿州,萧县人民检察院,检察官助理,本科,法学类（不含特设专业）,2,1,46,72,俊市
2019,40205,宿州,灵璧县人民检察院,检察官助理,本科,法学类（不含特设专业）,1,1,68,69,西宁市
2021,40206,宿州,泗县人民检察院,检察官助理,本科,法学类（不含特设专业）,1,1,49,66,潜江县
2021,40207,宿州,泗县人民检察院,检察官助理,本科,法学类（不含特设专业）,5,68,46,69,昆明县
2021,40208,宿州,泗县人民检察院,司法行政人员,本科,不限,1,40,82,72,上海县
2018,40209,宿州,砀山县乡镇机关,村镇事务管理,高中(中专),不限,3,10,0,0,昆明县
2014,40210,宿州,萧县乡镇机关,村镇事务管理,高中(中专),不限,1,1,0,0,俊市
2015,40211,宿州,灵璧县乡镇机关,村镇事务管理,高中(中专),不限,2,1,0,0,嘉禾市
2018,40212,宿州,泗县乡镇机关,村镇事务管理,高中(中专),不限,4,1,0,0,佛山县
2015,220001,宿松,中共宿松县委办公室,文字综合,本科,本科：中国语言文学类、新闻传播学类、哲学类；硕士研究生：不限专业,1,8,80,65,嘉禾市
2015,220002,宿松,中共宿松县委讲师组,综合管理,本科,中国语言文学类、新闻传播学类、历史学类、计算机类,1,55,66,73,志强县
2014,220003,宿松,宿松县人民政府办公室,文字综合1,本科,本科：中国语言文学类；硕士研究生：不限专业,1,97,73,76,齐齐哈尔县
2014,220004,宿松,宿松县人民政府办公室,文字综合2,本科,经济学类、法学类、政治学类,1,1,80,77,上海市
2013,220005,宿松,宿松县人力资源和社会保障局,劳动监察,本科,法学类、人力资源管理专业、劳动与社会保障专业,1,1,68,71,齐齐哈尔县
2020,220006,宿松,宿松县教育局,教育行政,本科,本科：教育学专业、汉语言文学专业、思想政治教育专业；硕士研究生：不限专业,4,107,69,74,张家港县
2013,220007,宿松,宿松县住房和城乡建设局,城乡规划建设管理,本科,城乡规划专业、建筑学专业、智慧建筑与建造专业,2,63,74,77,巢湖市
2018,220008,宿松,宿松县统计局,统计调查分析,本科,统计学类、经济与贸易类,1,51,87,79,瑜市
2022,220009,宿松,宿松县财政局,财政管理,本科,财政学类、金融学类、会计学专业、审计学专业、财务管理专业,1,28,88,74,丹丹市
2017,220010,宿松,宿松县市场监督管理局,市场监管1,专科,不限,1,14,63,72,嘉禾市
2018,220011,宿松,宿松县市场监督管理局,市场监管2,本科,法学类、食品科学与工程类、药学类,7,100,65,66,上海县
2022,220012,宿松,宿松县市场监督管理局,市场监管3,本科,不限,1,169,81,72,志强县
2015,220013,宿松,宿松县商务局,电子商务,本科,电子信息类、经济与贸易类,4,44,51,73,石家庄县
2015,220014,宿松,宿松县司法局,行政复议与应诉,本科,法学类(不含特设专业),1,37,49,67,石家庄县
2015,220015,宿松,宿松县司法局,司法行政,本科,中国语言文学类,1,1,49,69,武汉县
2021,220016,宿松,宿松县公安局,人民警察1,本科,会计学专业、审计学专业、财务管理专业,1,15,76,69,郑州县
2021,220017,宿松,宿松县公安局,人民警察2,本科,交通管理工程专业、交通设备与控制工程专业、交通工程专业,3,1,64,63,佛山县
2019,220018,宿松,宿松县公安局,人民警察3,本科,不限,1,1,74,71,武汉市
2014,220019,宿松,宿松县公安局,物证检验及鉴定★,本科,刑事科学技术专业、公安视听技术、网络安全与执法专业、侦查学专业,1,1,0,0,玲市
2018,220020,宿松,宿松县公安局,网络安全管理★,本科,计算机科学与技术专业、网络工程专业、信息安全专业,1,91,75,75,北镇市
2013,220021,宿松,宿松县公安局,特警,本科,体育教育专业、运动训练专业、武术与民族传统体育专业,5,1,53,62,海口市
2016,220022,宿松,宿松县供销合作社联合社,综合管理,本科,不限,1,1,82,73,武汉县
2021,220023,宿松,宿松县供销合作社联合社,农村经济管理,本科,经济与贸易类、工商管理类、农业经济管理类,4,20,84,68,玲市
2019,220024,宿松,宿松县医疗保障基金管理中心,医保基金管理,本科,医学信息工程专业、临床医学专业、医疗保险专业,2,77,72,75,齐齐哈尔市
2015,220025,宿松,宿松县招商中心,招商管理,本科,不限,2,90,63,70,北镇市
2014,220026,宿松,宿松县乡镇机关,综合管理1,本科,不限,5,19,58,72,荣县
2022,220027,宿松,宿松县乡镇机关,综合管理2,专科,不限,5,95,74,68,海燕市
2013,220028,宿松,宿松县乡镇机关,综合管理3,本科,不限,5,214,50,70,俊市
2019,220029,宿松,宿松县乡镇机关,综合管理4,专科,不限,7,389,63,76,潜江县
2020,220030,宿松,宿松县乡镇机关,综合管理5,本科,不限,5,110,61,79,武汉县
2017,220031,宿松,宿松县乡镇机关,综合管理6,本科,金融学类、经济与贸易类、电子信息类,5,124,82,79,齐齐哈尔县
2015,220032,宿松,宿松县乡镇机关,人武专干,专科,人民武装专业（退役军人报考可不限专业）,1,1,47,64,海口市
2019,220033,宿松,宿松县乡镇机关,综合管理,高中（中专）,不限,4,1,0,0,兴安盟市
2019,210001,广德,广德市人民法院,司法行政人员,本科,中国语言文学类、新闻传播学类,2,21,84,70,西宁县
2019,210002,广德,广德市人民法院,司法警察,本科,法学类、公安学类,1,84,62,76,香港市
2018,210003,广德,广德市人民法院,司法警察,本科,法学类、公安学类,1,102,61,70,齐齐哈尔市
2020,210004,广德,广德市人民法院,法官助理,本科,法学类,1,1,71,75,齐齐哈尔县
2019,210005,广德,广德市人民法院,司法行政人员,本科,不限,1,1,59,73,潜江县
2014,210006,广德,广德市人民检察院,司法行政人员,本科,不限,4,49,57,74,武汉县
2017,210007,广德,共青团广德市委员会,行政管理,本科,会计学专业、行政管理专业、社会工作专业、新闻学专业、网络与新媒体专业,1,71,62,70,南京市
2021,210008,广德,广德市委党校,行政管理,本科,不限,1,19,57,65,杰市
2016,210009,广德,广德市委党史和地方志研究室,财务管理,本科,会计学专业、财务管理专业、财务会计教育专业,1,1,47,64,丽市
2013,210010,广德,广德市公安局,人民警察,本科,不限,2,35,44,70,佛山县
2020,210011,广德,广德市公安局,人民警察,本科,电子信息类、计算机类,1,60,65,66,玲市
2020,210012,广德,广德市公安局,人民警察,专科,不限,1,17,41,67,荣县
2017,210013,广德,广德市市场监督管理局,市场监管执法,本科,机械设计制造及其自动化专业、通信工程专业、药学专业,1,103,72,76,福州市
2016,210014,广德,广德市非税收入核算中心,财务管理,本科,经济学类、金融学类、工商管理类,1,75,79,76,巢湖市
2022,210015,广德,广德市应急管理执法大队,安全生产监管执法,本科,安全工程专业、应急技术与管理专业、应急管理专业、机械工程专业、冶金工程专业、金属材料工程专业,2,1,76,77,玲市
2017,210016,广德,广德市文化市场综合执法大队,文化市场监管执法,本科,法学类、新闻传播学类,1,1,64,70,南京市
2018,210017,广德,广德市商务监察大队,商务监察执法,本科,国际经济与贸易专业、商务经济学专业、会计学专业,3,143,87,69,哈尔滨市
2016,210018,广德,广德市乡镇,综合文秘,本科,中国语言文学类、新闻传播学类,5,33,81,74,石家庄县
2015,210019,广德,广德市乡镇,财务管理,本科,工商管理类、金融学类,1,158,58,70,武汉县
2018,210020,广德,广德市乡镇,规划建设管理,本科,建筑类、土木类,4,142,88,71,佛山县
2018,210021,广德,广德市乡镇,行政管理,专科,不限,1,1,66,69,琳市
2015,210022,广德,广德市乡镇,行政管理,专科,不限,6,417,71,78,上海市
2019,210023,广德,广德市桃州镇,农业建设管理,本科,农学门类,1,34,80,68,武汉市
2015,210024,广德,广德市新杭镇,安全生产管理,本科,化工与制药类,1,1,67,67,上海市
2014,210025,广德,广德市新杭镇,网络管理,本科,计算机类,1,12,87,72,杰市
2020,210026,广德,广德市柏垫镇,行政管理,本科,工商管理类,1,69,52,72,张家港县
2022,210027,广德,广德市杨滩镇,水利建设管理,本科,水利类,1,98,55,63,哈尔滨市
2017,210028,广德,广德市杨滩镇,文化旅游管理,本科,旅游管理类,1,74,72,75,福州市
2018,210029,广德,广德市乡镇,行政管理,高中（中专）,不限,1,61,0,0,海口市
2021,150001,池州,中共池州市纪委、池州市监委,监督执纪,本科,法学类,1,71,58,65,玲市
2016,150002,池州,池州市社科联,机关综合,本科,不限,3,44,63,77,南京市
2018,150003,池州,池州市贵池区生态环境分局,生态环境管理,本科,环境科学与工程类、化学类、地理科学类,1,127,75,71,宁德县
2017,150004,池州,池州市东至县生态环境分局,生态环境管理,本科,环境科学与工程类、化学类、化工与制药类、生物科学类、法学专业,1,113,57,68,丹丹市
2018,150005,池州,池州市东至县生态环境分局,机关综合,本科,不限,1,1,78,72,杰市
2013,150006,池州,池州市司法局,行政复议与应诉,本科,法学类,1,1,76,73,齐齐哈尔市
2015,150007,池州,池州市司法局,规范性审查,本科,法学类,1,18,51,69,齐齐哈尔市
2015,150008,池州,中共池州市委宣传部中共池州市委讲师团,理论宣讲,本科,新闻学专业、广播电视学专业、广告学专业、传播学专业,2,41,86,70,潜江县
2021,150009,池州,中共池州市委老干部局池州市老干部活动中心,综合管理,本科,中国语言文学类、新闻传播学类、计算机类、公共管理类,3,97,79,76,哈尔滨县
2013,150010,池州,池州市政府办公室池州市政府发展研究中心,综合文字,本科,经济学门类、工学门类、法学类、汉语言文学专业,1,96,94,77,上海市
2013,150011,池州,池州市发展改革委池州市联合征信中心,综合管理,本科,经济学门类、管理科学与工程类、工商管理类,5,15,79,78,玲市
2021,150012,池州,池州市财政局池州市农村综合改革工作站,资金服务保障,本科,经济学类、财政学类、金融学类、会计学专业、财务管理专业、审计学专业、财务会计教育专业,1,138,61,79,兴安盟市
2020,150013,池州,池州市财政局池州市国际合作资金管理中心,综合管理,本科,经济学类、财政学类、金融学类、会计学专业、财务管理专业、审计学专业、财务会计教育专业,1,13,72,70,昆明县
2019,150014,池州,池州市人力资源和社会保障局池州市人力资源开发指导中心,人力资源管理,本科,工商管理类、公共管理类、中国语言文学类,1,130,70,71,佛山县
2016,150015,池州,池州市生态环境局池州市生态环境保护综合行政执法支队,生态环境管理,本科,环境科学与工程类、化学类、生物科学类、法学专业,1,100,68,74,上海县
2013,150016,池州,池州市农业农村局池州市农业综合行政执法支队（池州市渔政执法支队）,渔政管理,本科,法学类、水产养殖学专业、动植物检疫专业,1,67,58,65,哈尔滨县
2019,150017,池州,池州市农业农村局池州市农业综合行政执法支队（池州市渔政执法支队）,动植物检疫,本科,法学类、水产养殖学专业、动植物检疫专业,3,1,46,65,娟县
2022,150018,池州,池州市水利局池州市河道管理处(池州市河道采砂管理处),河道管理,本科,水利类,2,45,80,75,石家庄县
2019,150019,池州,池州市文化和旅游局池州市文化市场综合执法支队,文化旅游管理,本科,旅游管理类,1,1,56,73,宁德县
2017,150020,池州,池州市文化和旅游局池州市文化市场综合执法支队,文化旅游管理,本科,法学类,1,66,53,71,张家港县
2021,150021,池州,池州市文化和旅游局池州市文化市场综合执法支队,文化旅游管理,本科,不限,1,65,60,68,北镇市
2014,150022,池州,池州市文化和旅游局池州市文化市场综合执法支队,文化旅游管理,本科,艺术管理专业、音乐学专业、舞蹈学专业、舞蹈编导专业、戏剧影视导演专业,3,131,68,72,武汉县
2014,150023,池州,池州市应急管理局池州市应急管理综合行政执法支队,应急管理,本科,机械工程专业、冶金工程专业、地质工程专业、采矿工程专业、安全工程专业、应急技术与管理专业、消防工程专业,1,98,51,71,燕县
2017,150024,池州,池州市市场监管局池州市知识产权事业发展中心,知识产权运用保护,本科,电子信息类,4,33,81,71,荣县
2020,150025,池州,池州市市场监管局池州市知识产权事业发展中心,知识产权运用保护,本科,材料类,1,31,62,79,俊市
2014,150026,池州,池州市市场监管局池州市市场监管综合行政执法支队,市场监管,本科,不限,1,36,80,68,嘉禾市
2019,150027,池州,池州市市场监管局池州市市场监管综合行政执法支队,市场监管,本科,化学类、计算机类,1,1,87,75,俊市
2016,150028,池州,池州市统计局池州市社会经济综合调查队,统计调查,本科,统计学类、经济统计学专业、会计学专业,1,44,58,73,玲市
2016,150029,池州,池州市林业局池州市森林病虫害防治检疫站(池州市林业自然保护站),森林保护,本科,林学类、自然保护与环境生态类,1,89,87,74,西宁县
2022,150030,池州,池州市林业局安徽升金湖国家级自然保护区管理处,财务管理,本科,不限,1,85,52,69,平市
2017,150031,池州,池州市林业局安徽升金湖国家级自然保护区管理处,生态保护,本科,环境科学与工程类、林学类,1,1,87,77,辛集市
2016,150032,池州,池州市城市管理行政执法局皖江江南新兴产业集中区分局（池州市城市管理行政执法局皖江江南新兴产业集中区执法大队）,城市管理,本科,不限,2,132,63,70,丹丹市
2018,150033,池州,池州市城市管理行政执法局经济技术开发区分局（池州市城市管理行政执法局经济技术开发区执法大队）,城市管理,本科,不限,1,7,74,63,齐齐哈尔市
2013,150034,池州,池州市城市管理行政执法局平天湖风景区分局（池州市城市管理行政执法局平天湖风景区执法大队）,城市管理,本科,法学类,2,1,79,68,哈尔滨市
2015,150035,池州,池州市城市管理行政执法局平天湖风景区分局（池州市城市管理行政执法局平天湖风景区执法大队）,城市管理,本科,公共管理类、管理科学与工程类、中国语言文学类、新闻传播学类,1,44,69,73,佛山县
2020,150036,池州,池州市住房公积金管理中心,财务管理,本科,会计学专业、财务管理专业、财务会计教育专业、审计学专业,4,100,57,72,斌市
2016,150037,池州,九华山风景区政务服务中心,机关综合,本科,工商管理类、公共管理类、图书情报与档案管理类,1,1,55,69,昆明县
2017,150038,池州,九华山风景区政务服务中心,景区规划,本科,建筑类、地理科学类、地质学类,4,73,74,74,齐齐哈尔县
2022,150039,池州,九华山风景区政务服务中心,基金管理,本科,财政学类、经济与贸易类、统计学类、经济统计学专业,3,58,73,68,秀芳县
2022,150040,池州,九华山风景区政务服务中心,政务公开,本科,中国语言文学类、新闻传播学类、历史学类,1,97,60,79,香港市
2013,150041,池州,九华山风景区政务服务中心,机关综合,本科,不限,1,56,69,64,上海市
2014,150042,池州,池州市贵池区司法局,社区矫正,本科,法学门类,1,59,76,61,畅县
2016,150043,池州,池州市贵池区司法局,社区矫正,本科,法学门类,4,53,62,68,齐齐哈尔县
2016,150044,池州,池州市贵池区档案馆,档案管理,本科,中国语言文学类、图书情报与档案管理类,1,1,63,77,巢湖市
2018,150045,池州,池州市贵池区红十字会,救助救援管理,本科,医学门类,2,28,70,71,郑州县
2017,150046,池州,池州市贵池区红十字会,信息系统维护,本科,自动化类、计算机类、电子信息类,4,11,80,78,荣县
2015,150047,池州,中共池州市贵池区委宣传部中共池州市贵池区委讲师组,理论宣讲,本科,哲学门类、文学门类,3,114,85,70,巢湖市
2020,150048,池州,池州市贵池区统计局池州市贵池区社会经济调查中心,统计分析,本科,经济学门类、统计学类、计算机类,3,5,66,73,丽市
2019,150049,池州,池州市贵池区城市管理行政执法局池州市贵池区城市管理综合执法大队,城市管理,本科,法学门类,1,1,68,70,香港市
2017,150050,池州,池州市贵池区城市管理行政执法局池州市贵池区城市管理综合执法大队,城市管理,本科,法学门类,2,37,69,66,南京市
2015,150051,池州,池州市贵池区城市管理行政执法局池州市贵池区城市管理综合执法大队,城市管理,本科,土木类、城市管理专业、城市设计专业,5,1,48,69,辛集市
2013,150052,池州,池州市贵池区城市管理行政执法局池州市贵池区城市管理综合执法大队,城市管理,本科,交通运输类、交通管理专业、交通管理工程专业,1,80,65,75,上海市
2014,150053,池州,池州市贵池区城市管理行政执法局池州市贵池区城市管理综合执法大队,城市管理,本科,不限,2,72,64,74,志强县
2021,150054,池州,贵池区乡镇（街道）机关,综合管理,本科,农学门类,1,89,58,74,丹丹市
2016,150055,池州,贵池区乡镇机关,综合管理,本科,理学门类,4,80,70,75,佛山县
2020,150056,池州,贵池区乡镇机关,综合管理,本科,工学门类,6,73,86,85,宇县
2020,150057,池州,贵池区乡镇机关,综合管理,专科,不限,2,181,57,70,平市
2015,150058,池州,贵池区乡镇机关,综合管理,本科,不限,2,1,52,64,杰市
2016,150059,池州,贵池区乡镇机关,人武专干,专科,不限,2,1,67,54,平市
2017,150060,池州,贵池区乡镇财政分局,财政管理,本科,经济学门类,1,61,60,75,齐齐哈尔县
2017,150061,池州,贵池区乡镇财政分局,财政管理,本科,不限,2,33,41,71,畅县
2019,150062,池州,贵池区乡镇财政分局,财政管理,专科,不限,2,47,71,78,昆明县
2016,150063,池州,贵池区乡镇（街道）财政分局,财政管理,本科,经济学门类、会计学专业、财务管理专业、财务会计教育专业、审计学专业、资产评估专业,4,28,76,72,宁德县
2020,150064,池州,贵池区乡镇财政分局,财政管理,专科,经济学门类、会计学专业、财务管理专业、财务会计教育专业、审计学专业、资产评估专业,3,1,50,67,荣县
2020,150065,池州,贵池区乡镇财政分局,财政管理,本科,经济学门类、会计学专业、财务管理专业、财务会计教育专业、审计学专业、资产评估专业,4,1,71,77,志强县
2018,150066,池州,中共东至县纪委、东至县监委派驻纪检监察组,监督执纪,本科,法学类、中国语言文学类,1,15,67,66,嘉禾市
2022,150067,池州,中共东至县委办公室,信息管理,本科,计算机类,1,66,57,71,芳县
2022,150068,池州,东至县人民政府信访局,信访接待,本科,不限,2,1,59,71,西宁县
2014,150069,池州,东至县人力资源和社会保障局,机关综合,本科,公共管理类、工商管理类,1,130,64,74,武汉县
2013,150070,池州,东至县数据资源管理局,数据资源管理,本科,计算机类、自动化专业,3,9,85,78,西宁市
2021,150071,池州,东至县司法局,社区矫正,本科,法学类,1,1,66,62,西宁市
2019,150072,池州,东至县市场监管局,市场监管,本科,法学类,4,1,73,60,昆明县
2014,150073,池州,东至县市场监管局,市场监管,本科,工商管理类、经济学类,1,22,78,69,北镇市
2018,150074,池州,东至县市场监管局,食品医药监管,本科,食品科学与工程类、药学类,2,1,70,66,海口市
2014,150075,池州,中共东至县委党史和地方志研究室（东至县档案馆）,史志档案编研,本科,不限,3,36,78,79,荣县
2017,150076,池州,东至县机关事务服务中心（东至县归国华侨联合会）,服务保障,本科,法学类、公共管理类,4,67,53,77,平市
2019,150077,池州,东至县民政局东至县社会救助中心,社会救助,本科,不限,2,1,74,73,嘉禾市
2021,150078,池州,东至县乡镇机关,综合管理,专科,不限,3,66,47,63,芳县
2015,150079,池州,东至县乡镇机关,综合管理,专科,不限,1,139,88,77,海口市
2017,150080,池州,东至县乡镇机关,综合管理,专科,不限,3,188,88,68,哈尔滨市
2016,150081,池州,东至县乡镇机关,人武专干,专科,人民武装专业（退役军人报考可不限专业）,1,44,79,67,玲市
2020,150082,池州,东至县乡镇机关,综合管理,专科,不限,1,1,71,64,张家港县
2018,150083,池州,东至县乡镇财政分局,财政管理,专科,不限,4,1,33,66,昆明县
2017,150084,池州,东至县乡镇财政分局,财政管理,专科,不限,1,112,58,69,哈尔滨市
2018,150085,池州,东至县乡镇财政分局,财政管理,本科,财政学类、财务管理专业、会计学专业、财务会计教育专业,5,49,76,78,俊市
2016,150086,池州,东至县乡镇财政分局,财政管理,本科,财政学类、财务管理专业、会计学专业、财务会计教育专业,4,1,53,67,南京市
2020,150087,池州,东至县乡镇财政分局,网络安全管理,本科,计算机类、电子信息类,1,1,53,71,芳县
2022,150088,池州,东至县乡镇财政分局,财政管理,专科,不限,1,37,60,73,郑州县
2018,150089,池州,中共石台县委办公室,综合文字,本科,中国语言文学类、法学类,1,43,55,73,丽市
2013,150090,池州,中共石台县委宣传部,机关综合,本科,不限,2,1,63,70,瑜市
2014,150091,池州,中共石台县委编办,综合管理,本科,不限,2,1,75,70,南京市
2013,150092,池州,石台县卫健委,公共卫生管理,本科,医学门类,3,1,67,66,芳县
2019,150093,池州,石台县科技经济信息化局,工业经济,本科,经济学门类、管理学门类、工学门类,4,127,67,69,西宁市
2013,150094,池州,石台县教育体育局,机关综合,本科,不限,1,1,53,64,北镇市
2019,150095,池州,石台县教育体育局,机关综合,本科,不限,1,1,78,69,佛山县
2014,150096,池州,石台县审计局,审计监督,本科,经济学门类、计算机类、会计学专业、审计学专业、财务管理专业,4,1,73,72,潜江县
2018,150097,池州,石台县司法局,社区矫正,本科,法学类,1,52,41,67,娟县
2016,150098,池州,石台县乡镇机关,乡村旅游,专科,不限,1,1,47,67,玲市
2016,150099,池州,石台县乡镇机关,综合管理,专科,不限,1,28,82,77,武汉县
2022,150100,池州,石台县乡镇机关,综合管理,专科,不限,3,1,77,74,巢湖市
2020,150101,池州,石台县乡镇机关,人武专干,专科,人民武装专业（退役军人报考可不限专业）,1,1,52,66,海口市
2021,150102,池州,石台县乡镇机关,乡村旅游,专科,不限,1,135,65,68,芳县
2021,150103,池州,石台县乡镇机关,综合管理,专科,不限,3,102,72,68,志强县
2018,150104,池州,石台县乡镇机关,乡村旅游,专科,不限,1,148,73,70,丽市
2022,150105,池州,石台县乡镇财政分局,财政管理,专科,不限,2,116,72,67,南京市
2021,150106,池州,石台县乡镇财政分局,财政管理,专科,财政学类、会计学专业、财务管理专业、审计学专业,3,1,88,82,俊市
2017,150107,池州,中共青阳县纪委、青阳县监委,监督执纪,本科,不限,1,68,75,76,宁德县
2013,150108,池州,中共青阳县委编办,机关党建,本科,不限,1,1,68,77,丹丹市
2016,150109,池州,中共青阳县直机关工委,综合管理,本科,不限,2,56,64,75,杰市
2017,150110,池州,青阳县科技经济信息化局,经济信息化管理,本科,经济学类、计算机类,1,99,66,72,佛山县
2014,150111,池州,青阳县司法局,社区矫正,本科,法学类,1,65,65,75,上海市
2017,150112,池州,青阳县司法局,社区矫正,本科,不限,2,1,62,60,宇县
2022,150113,池州,青阳县自然资源和规划局,自然资源管理,本科,地理科学类、地质学类、地质类、土木类、测绘类、矿业类、建筑类、计算机类、法学类、土地资源管理专业,2,47,79,69,芳县
2020,150114,池州,青阳县自然资源和规划局,机关综合,本科,不限,4,1,56,63,南京市
2013,150115,池州,青阳县文化和旅游局,文化旅游管理,本科,旅游管理类、文化产业管理专业,3,64,79,69,兴安盟市
2022,150116,池州,青阳县市场监管局,市场监管,本科,不限,1,27,64,66,杰市
2014,150117,池州,青阳县市场监管局,市场监管,本科,不限,1,25,51,69,琳市
2014,150118,池州,青阳县市场监管局,市场监管,专科,不限,4,63,55,71,杰市
2016,150119,池州,青阳县林业局,森林资源管理,本科,林学类、森林工程专业、植物保护专业、植物科学与技术专业、野生动物与自然保护区管理专业,2,57,57,67,潜江县
2022,150120,池州,青阳县档案馆（中共青阳县委党史和地方志研究室）,机关综合,本科,不限,1,3,77,70,郑州市
2018,150121,池州,池州市中级人民法院,法官助理,本科,法学类,1,1,49,77,宁德县
2017,150122,池州,池州市中级人民法院,司法行政人员,本科,计算机类,1,1,86,77,西宁县
2013,150123,池州,池州市贵池区人民法院,法官助理,本科,法学类,1,83,78,66,荣县
2018,150124,池州,池州市贵池区人民法院,法官助理,本科,法学类,4,1,72,69,潜江县
2019,150125,池州,东至县人民法院,法官助理,本科,法学类,5,55,44,64,海燕市
